text,intent
"[ [ I've, + I've ] heard some, + E I mean  I've heard [ [ sta-, + sta-, ] + statistics ] ] and things [ that, + that ] compare a public education to a private education. E I mean  [ within + D like,  within ] the <thumping> same, F uh,  income groups. /",statement
"[ Have, + have ] you been up to that? /",question
I was surprised how easy it was. /,statement
I don't understand half the stuff he does  /,statement
D Well   --,statement
"D So,  F um,  [ do you think that you, + do you think that your ] family is pretty rare in that you do a lot of things or just the relationship between you and your daughter? /",question
I stir fried some the other night though.  /,statement
"Yeah,  /",general
Yeah.  /,general
"F uh,  my main opinion would be [ [ w-, + w-, ] + we ] should not have done it. /",statement
Right. /,general
Yeah. /,general
"[ C And  as they, +",statement
Uh-huh. /,general
Tuesday they went to that.  /,statement
"D Well,  [ it is, + it is, ] though. /",statement
C but  --,statement
"C so  mainly,",statement
"C and  [ I, + I've ] been a Mac fanatic since they came out. /",statement
"No,  /",general
Uh-huh. /,general
Really. /,general
"C but  it's been really, - /",statement
"C And  I go to [ a br-, + a campus  ] of the University of Maryland that is just, less than a mile from my house.  /",statement
"D You know,  E I mean,",statement
Uh-huh. /,general
I'm sure that's fine. /,statement
Uh-huh. /,general
C So  we're going to wait until we move.  /,statement
Sure. /,general
I don't think he did the interiors very well <laughter>. /,statement
"I have kind of gone back to, F uh,  more of a county, F uh,  flavor in music.  /",statement
"Does it cost the same for just two nights  or, -/",question
"D You know,  F uh,  I was on a jury  /",statement
"like for instance,",statement
"C But  these individuals, if they have a gun with them,  I think that [ the, + the ] sentence should be even longer than if they don't. /",statement
Yeah. /,general
I see. /,general
"-- C and  what I hear a lot of neighborhoods  do have [ the, + the ] pickup now,  /",statement
"D Well,  [ [ I just, + I, ] + that day I ] just took extra lemon and just squeezed across the top  /",statement
"F Uh,  the jury, [ it was, + F uh,  A let me see,  I think it was ] ten to one on the jury, because they only had to have eleven people  -- /",statement
Uh-huh. /,general
"you can, F um,  use crafts to make wonderful things for children. /",statement
"I don't know if he's still on any more or not,  /",statement
Oh. /,general
Right </dishes>.  /,general
"I remember you could make something for, D you know,  half what it cost to buy  /",statement
Yeah. /,general
"It's funny now,  /",statement
"all those factors played a part in,  D you know,  F uh,  the, -/",statement
Yeah. /,general
"C And  [ it, +  it ] was a [ nice, + F uh,  nice ] long skiing career,  /",statement
"C And,    I guess I just <<pause>> <barking> - /",statement
"F Oh,  F oh,  okay.  /",general
"D Well,  they're probably [ hardy, + harder  ] to take care of  /",statement
"[ It's, + it's ] a complete mess, everything floods, all the under passes. /",statement
"Really what happens  is we just get a penny a can back [ off the, + off the ] price, if you want to think of it that way. /",statement
I mean he works it out every month --,statement
Uh-huh. /,general
It was beautiful.  /,statement
C And  things don't fit just quite exactly --,statement
Uh-huh. /,general
Sure.  /,general
C and  I don't think they ate all that much different <laughter>. /,statement
okay.   /,general
"D Well,  it's been really good.  /",statement
"C and  we would meet every Thursday morning at our instructor's home, because she did our firing for us,  /",statement
What's everybody drive up there? /,question
It is very difficult.  /,statement
"C So  you just flip through there until you find a <smack> eighty, eighty-eight computer <breathing>  /",statement
Uh-huh <laughter>. /,general
"I mean it was, F uh,  one country picking on a smaller, weaker one. /",statement
"It seems like [ the success ratio, + the success rate ] here is  not as good as on some of the better lakes there.  /",statement
"C and  by the time [ they, + the flowers ] would come back to life it was supposedly the time to pull things out for the spring and summer planting <laughter>. /",statement
When is the time you had fifteen thousand dollars all at one time to go out and buy an automobile? /,question
"[ They, + they ] lead themselves down hopeless tunnels.  /",statement
"C But,   F uh,  of course I'm away from my other son those hours, too.  /",statement
Yeah. /,general
"C So  [ [ I, + I ] don't really, + I don't really ] dress up a whole lot.  /",statement
"C and  we were just  kind of D like,  - /",statement
"F Oh,  I see. /",general
"we try to watch it on  Thursday nights,  /",statement
"Yeah, [ [ we, + we have, ] + I think [ we, +    we ] name ] drop it a little too much [ and, + and ] don't fully understand [ what, +  what ]  it is we're saying.  /",statement
I'm not exactly sure what they're burning.  /,statement
"C but,   apparently, they do. /",statement
Oh <laughter>. /,general
"for a hobby or for, -/",question
Uh-huh. /,general
"I  know [ we, + <inhaling> we ] have done that too in the past,  F uh,   /",statement
"The only thing is,  -/",statement
"I had a recipe from that, F um,  INTERNATIONAL COOKBOOK TWO, that's a great salad in summertime.  /",statement
"C and  [ they, +  they ]  send their kids to school  /",statement
"C but,  D you know  by the time I get over the gym [ and, + and ] go for my class and shower and get back to work, it is probably two hours or more -- /",statement
"-- D now  maybe we don't call these personal computers, F um,   /",statement
"C And  that does make [ a wan-, + ] a person want to stay </children_yelling> </hum>, /",statement
Yeah. /,general
"maybe [ it should be, + F uh,  D well,  it should be  ] given, D you know,  [ I, + I  ] won't say sparingly,  /",statement
C and  it was at a camp.  /,statement
yeah.  /,general
C and  I thought I would never buy a house --,statement
"For instance, everybody had what they  called there social year,",statement
"how about when they were younger,  /",question
Uh-huh. /,general
C but  I don't see so much that I can recycle. /,statement
Oh. /,general
Uh-huh. /,general
Right. /,general
We've gone on CARNIVAL CRUISE LINES. /,statement
"[ En-, + enjoy  ] them?  /",question
"Right,  /",general
Right. /,general
"-- C and  I thought, F oh,  my God, I am paying for this myself,  /",statement
"[ It's, + it's ] okay, F um,  /",statement
Yeah  /,general
Yeah. /,general
Right. /,general
"C But  [ I was, + I was ] trying to  get my, F uh,  kids, D you know,  to see different things that we could come up with for recycling purposes. /",statement
he's never gone away.  /,statement
Bye-bye.  /,general
"Yeah,  /",general
"<TV> Hi, Wanet <<this is his last name>>.  /",general
"Yeah,  /",general
C But  for the most part I truly believe that the parents would be better if they were with the children. /,statement
Yeah. /,general
"For me, I wouldn't have time to do an [ hour, + hour ] of aerobics and then take a shower and [ get, + get ] dressed again. /",statement
Uh-huh. /,general
"Bye, bye.  /",general
"F Uh,  D you know,  we even lived there  for [ a, +  a ] while when my husband was in the Navy. /",statement
Uh-huh. /,general
C but  I don't watch it regularly. /,statement
"C But  then you started looking at the, F uh,  F uh,  - /",statement
"I just read [ a, + an, ]",statement
"[ C But,  + C but   ] I'm satisfied to just have what I've been used to, not have to think about the great financial <laughter> --",statement
"F Oh,  yeah,  /",general
Yeah. /,general
Right. /,general
<Sniffing>  Yeah. /,general
"We rent a pavilion  [ and, +  <inhaling> and ] do that  /",statement
Uh-huh. /,general
"they're kind of the leaders right now, D you know.   /",statement
Uh-huh. /,general
I'm a college teacher  /,statement
"Yeah,  /",general
"D So.    D Well,  listen then,  /",general
"[ In, + in ] other words D like  anyone can live,",statement
C So  it's like you really have to tell as much as you can which is not much in that amount of time.  /,statement
I feel really bad that it's turned so much --,statement
"Yeah,  /",general
"D You know,  C so  I feel good about them being there  /",statement
C But  they have the money to be able to do it.  /,statement
"C Because   the windows are something that is conducive to temperature changes in, F uh,  D you know,  the solar game? /",statement
"She finally tried to go buy, D you know,   a pair of pants  /",statement
"Yeah,  /",general
Bye-bye. /,general
Yeah. /,general
"If you like it kind of hot, [ that -- +",statement
Yeah. /,general
"C But,  F uh,   for the older, F uh,  ranch homes it's pretty typical I guess. /",statement
"Have you gone, D like  to Fillmont with the Boy Scouts? /",question
C So  I'm looking forward to seeing that --,statement
it was just strange.  /,statement
C And  I think that's the way it should be.  /,statement
"I,",statement
"C or,",statement
yeah -- /,general
"it actually, - /",statement
"C because,  F uh,   even today where people are so illiterate and they go off to school and really nothing happens, E I mean,  they don't learn anything.  /",statement
Uh-huh. /,general
"I wish  if they were going to do it, they would be a little more consistent in dealing with who gets lethal injection and who doesn't. /",statement
C and  they're applying it there. /,statement
"Maybe the right thing to do is to, F uh,  <lipsmack> when a couple has a child, <lipsmack> then [ they should both take, + A you say the first four or five years are the most important, and I think I would agree with that,   they both take ] four or five years off and devote to parenting. /",statement
Uh-huh. /,general
"C And  the lightning was almost continuous, just, F uh,  D you know,  as if you put your hand on one of those electric, F uh,  things that causes lightning. /",statement
that would be prettier. /,statement
"Uh-huh,  /",general
Right. /,general
Uh-huh. /,general
Yeah. /,general
"I can't see all this little, F uh,   smoke buckets I call them, /",statement
"C so  I can call myself a Brooklyn thug, although I'm really not. /",statement
C and  I like to drive pick up truck.  /,statement
"C But,  like you said, I'd really have a lot of second thoughts before I put any of my own family members there. /",statement
"<Yawning> It almost costs so much to fix anything or  do anything with it,  /",statement
"[ E I mean,  +   E [ I, + I ] mean  ] teachers are so afraid now of even saying something,",statement
Uh-huh.  /,general
Uh-huh. /,general
"F Um,  there's a place on Parker Road, F um,   /",statement
"Yes,  /",general
Uh-huh.  /,general
"we  got out of school [ at, + at, ] F uh,  the university,  /",statement
"[ I'm the, +  F uh,  I'm the, ]  F uh,  original, F uh,  Mister Scrooge, I guess. /",statement
<Laughter> My in-laws listen to the kind  of music I hate <laughter>. /,statement
"C And,  you're  putting your life on [ your, +  on the ] line everyday. /",statement
Yeah  /,general
Do you?  /,question
Uh-huh. /,general
C and  I try to recycle all of the newspapers that come to my house  /,statement
"C but,  F uh,  [ she, + F uh,  she  ] doesn't believe in, - /",statement
"Uh-huh,  /",general
uh-huh. /,general
That's beautiful.  /,statement
What's your synopsis? <Breathing>. /,question
"If they are losing money, then they're going to raise rates. /",statement
C And  I'm willing to pay extra to live here and to enjoy the services that I enjoy.  /,statement
Yeah.  /,general
"C And  the oil companies [ are, + really aren't ] responsible, D you know.   /",statement
C And  the kids at  (( BIBLE ))  talk about anything  /,statement
I  (( keep on working )) .  /,statement
"I've seen, F uh,  F uh,  a great deal of change as far as, F um,  corporate responsibility and things, F um,  /",statement
"F Oh,  I see. /",general
Uh-huh. /,general
Uh-huh. /,general
"C But,   F uh,",statement
Uh-huh. /,general
I use to watch that  /,statement
"D See  now I haven't so that, - /",statement
"you consider how much, F um,  - /",statement
Uh-huh. /,general
"C but  I still think in the last ten years, - /",statement
Uh-huh.  /,general
"C and  I keep waiting for it to die,  /",statement
C but  then there's a lot of good things you don't hear. /,statement
"Uh-huh,  /",general
it's kind of nice <laughter>. /,statement
"D well,  he has a company car also,  /",statement
"C and  [ it, + that ] seems to be just fine.  /",statement
"at least it took care of him and, F uh,  threw him in a good learning situation where he did participate and, F uh,  want to learn something.  /",statement
Yeah. /,general
"C and,",statement
"D like  a Friday afternoon when I'm tired, it's the end of the week  and I just want to go home.   [ And + ] I'll make myself go,  /",statement
Although dealing with geriatrics is something a lot of  young people just aren't emotionally prepared to do. /,statement
"-- C so  it depends on your destination, too. /",statement
"C or,   what I've done is found D like  doctors' and dentists' office with extended hours. /",statement
"and a salesman that lived in the apartment had, asked me, uh, uh, if, - /",statement
Yeah.  /,general
"I think the schools today, D you know,   [ the public schools are just, + they're just ] overrun, D you know,   /",statement
C so  --,question
"F Uh,  more than likely, it's going to be a Chrysler. /",statement
"I felt she needed the s-, - /",statement
"it's a lot cleaner up there,  /",statement
"C But  [ I re-, + I really ] don't like it the charges that,   D you know,  - /",statement
"D Now,  D see,  [ that's a, +  A you talk about,  that's a ] crime right there. /",statement
"-- C and,  F uh,  then, F oh,  I don't know what - /",statement
Uh-huh. /,general
Yeah.  /,general
"We went to Kauai,  /",statement
"C and  it's kind of easy for me to forget about it now, because, F uh,  D you know,  when I'm not fat like I used to be --",statement
That's a real neat idea.  /,statement
"C so  I've, D you know,  worked most of my life.  /",statement
-- they're nine and five and three and a newborn. /,statement
Uh-huh. /,general
"C So  you're  starting [ from  the b-, + <laughter> from the baseline. ] /",statement
"it's not the evaporator, the big filter on one side. /",statement
C and  try to determine if  what you read was objective or not. /,statement
"Also, D you know,  a couple of years ago, [ ten, [ fif-, + fifteen, ] + ten, fifteen ] years ago, an individual going into a career could expect to have that career basically throughout their whole life,  /",statement
Uh-huh.   /,general
"F Oh,  me, [ I, + F uh,  <breathing> good grief, I ] read the TIMES, LOS ANGELES TIMES.  /",statement
"C So  I have always instilled into her,  /",statement
They are good. /,statement
Uh-huh. /,general
Uh-huh. /,general
You get some kids in there  /,statement
"and, uh, sometimes, uh, I can really smell especially diesel and things like that, /",statement
I find the JOY OF COOKING to be a remarkably useful book --,statement
"C but,  D you know,   I'm just used to always growing up and hearing Cowboys, Cowboys, Cowboys,   and, D you know,  Super Bowl,  and all this other stuff.  /",statement
Uh-huh.  /,general
I guess that's not a big surprise. /,statement
You too. /,general
"I guess, there are two basic teams that I seem to follow every year.  /",statement
The time you have with them has to be quality time then. /,statement
"D Well,  [ i-, + if ]  you teach [ c-, + F uh,  college, ] -/",statement
"I, F uh,  ride bicycles, <breathing>, F uh,  fifteen, twenty miles, I don't know, maybe three times, maybe four times a week.  /",statement
"[ C and  + F uh,  C and  ] it was somebody from, F um,  oh what was it, the, F uh,  Jesus Christ of Latter Day Saints,  /",statement
Yeah. /,general
"It's nice and small, which means, D you know,  if you don't get the class this semester,  then you've got to wait [ or  three or four s-, + D you know,   anywhere from two to four ] semesters to  get,",statement
"Yeah,  /",general
"Just decided she wanted to do it,  /",statement
Uh-huh. /,general
"Yeah,  /",general
Uh-huh <laughter>. /,general
C But  what are you supposed to do with them. /,question
"There's nothing, maybe a picture or two that belongs to that person  /",statement
I have a Chrysler LeBaron convertible.  /,statement
Uh-huh.  /,general
"It's a great place to raise our kids,  /",statement
Yeah. /,general
I think we would fill up new technologies.  /,statement
No. /,general
"I'm going to stick with the cassettes [ and, + and, ] F uh,  D you know,  [ until, + until ] they, - /",statement
"C And  [ I just, + I just ] don't want my children to have to be raised like that.  /",statement
"Yeah,  /",general
"F Uh,  [ my, + my ]  personal opinion is that, F uh,  the politicians are out for their own good because [ they, + they're ] entrenched. /",statement
"C and  [ I'm, + I'm ] speaking about people that are D like  born rich, /",statement
C and  she was the one that was intimidated then. /,statement
"C So,  it's like, nothing happened  during the seventies.  /",statement
C And  they never told us why these  two people had such a vendetta against each other  /,statement
C and  it's real good.  /,statement
Right.  /,general
F Oh.  /,general
"I was drug tested, F uh,  not for the job I have now, but for the prior job, F uh,   /",statement
"C And,  F uh,",statement
Huh. /,general
C And  this would give them a  chance to have some positive self-esteem. /,statement
It's what you want to be.  /,statement
Or both of them. /,statement
Yeah. /,general
Uh-huh.  /,general
"F Oh,  uh-huh. /",general
"F Oh,  uh-huh. /",general
"my brother lives over in Fort Worth,  /",statement
Yeah.  /,general
Right. /,general
Right.  /,general
C And  also so they could find someplace that they enjoyed while they still had choices to make.,statement
"F Oh,  yeah,  /",general
Go ahead. /,request
C so  that adds to it --,statement
"Yeah,  /",general
F Oh.  You ought to try some crawfish.  /,request
Uh-huh. /,general
"C and  since it's inception, F uh,  they've, [ the price has gone up per stu-, +   the prices paid by the federal government per student ] has been thirty-three percent. /",statement
"C And,  F uh,  <throat_clearing> most of the cooking I do just comes out of a can. /",statement
Uh-huh.  /,general
"My mother, F oh,  she freaks out because she's got neighbors  that have dogs, that don't train them -- /",statement
C And then  they'll get into something and really explore it. /,statement
and you got to have it. /,statement
they have A B C D type tournaments  /,statement
"[ that, + that's ] about what it ends up being.  /",statement
"C and  I think that their, F uh,  mentality as far as the way they treat them and that kind of thing, - /",statement
C but  the penalty didn't go back.  D You know?  /,statement
Yeah. /,general
I know my son has had to  do it for both Sam's and Wal-Mart -- /,statement
half the people don't even know who they're talking to. /,statement
Yeah.  /,general
"[ C But,  + F uh,  C but  ] I knew that it was paid <laughter>.  /",statement
<Laughter>  D Well  we've kind of exhausted everything I guess. /,general
C And  that's quite fun. /,statement
"F um  I was mostly an A -s fan, D you know.   /",statement
Uh-huh.  /,general
Uh-huh. /,general
it's in two parts.  /,statement
Right. /,general
"[ Have th-, + E I mean,   [ in-, + instead ] [ ha-, + have ] them ] pick up around the school yard, have them weed a flower bed somewhere on the school  yar-.  Do something to beautify the school property. /",statement
"<laughter> D you know  just this,  -/",statement
"D well,  that was really nice traveling  /",statement
"I had the money to pay for it,  /",statement
"Yeah,  /",general
"Hence is possible error as you  can see in all the IRONSIDES,",statement
"<laughter>  E I mean,  [ I, + I ] think I wouldn't  mind if a teacher spanked my child.  /",statement
-- C and then  I did a hour of aerobics. /,statement
"Yeah,  /",general
It brings back a lot of memories. /,statement
I lived to the west of it.  /,statement
"We had a little, F uh,  F uh,  F oh,  dog,  /",statement
yeah. /,general
"E I mean,   there are a lot of kids who when they're ten  look like they're twelve,",statement
"C and  we play with the kids, D you know.  /",statement
"C and  they work all day,  /",statement
"[ C But,  +  C and then  ] usually  after I'm done riding the bike, just to cool myself down, I usually take a walk,  D you know,   /",statement
"Yeah,  /",general
"D Well,  don't bother <laughter>. /",request
F Huh.  /,general
"Yeah,  /",general
Uh-huh.  /,general
"C and  I'm about, F uh,  fifteen miles, probably, from downtown Cleveland, something like that.  /",statement
"F Um,  C so  E I mean  [ it's, + it's ] a matter of anybody can get it any way and how if they really try, F um.  -/",statement
"I know where my daughter works,  /",statement
do you have any pets now? /,question
"[ we were, + we were ] down there  /",statement
C so  she was only paying in it fifteen dollars a month. /,statement
"Uh, some of the buttons didn't work right, where you had to actually physically hold them down to get it to record or to play,  /",statement
"C and  unfortunately the black lab that's a female, [ [ it, + [ tha-, + ] it's, ] + it's ] the most wonderful animal we've ever had,  /",statement
C and  the younger was in  fifth grade when my wife reentered the work force. /,statement
Yeah. /,general
"C and,    F uh,  I didn't have kids for four and a half years  /",statement
"[ This is, + F uh,   [ I, +  this is ] ] why I thought Jimmy Carter was never  [ very po-, + very pos-,  ] -/",statement
Yeah. /,general
"actually, I did,  /",statement
"We came from Colorado,  /",statement
"I didn't give away the whole thing,  /",statement
"and that's, that's what I think.  /",statement
Yeah. /,general
"my mom gets that,  /",statement
"D Well,  F uh,  until recently I was taking the WALL STREET JOURNAL,  /",statement
Uh-huh. /,general
Yeah. /,general
"it's going to hurt the city,  /",statement
Uh-huh. /,general
Right. /,general
"C and  we, I clip coupons.  /",statement
"C and,   F um,  they attend the public school here and are very active in a lot of the sports, soccer and  baseball  /",statement
"[ I think it's, +  D you know  what's  I think ] [ is + ] so nice is [ that +  <breathing> in this day and time that ] we can have good food  that's good for you  /",statement
Uh-huh. /,general
One of my kids got me one of those for Christmas one year  /,statement
they had such a super team. /,statement
"C And  the other one [ is, + <thumping> are ] the Saturns. /",statement
"C but  D you know.   F Um,  F um,  it's amazing to think that people in the Middle East sort of all hate each other. /",statement
Yeah. /,general
"C So,  we don't have any long term, D you know,   in stocks, or anything like that right now,  /",statement
