text,label
c and if they don t have their booster breathing any kind of saliva or anything from another cat if they get in a fight it automatically d like,statement
c but are you at t i,question
this follow archie,general
f oh f uh c and do you receive discounts and things like that,question
c and c but wordperfect is just a lot more intuitive in a lot of ways,statement
c or do you have you read any good novels lately,question
c but our pool is not is not heated,statement
yeah i know,general
c so she took the cat to the vet,statement
that s usually the way it is,statement
c and f uh it s good to hear from you,general
e i mean what does this have to do with getting d you know a computer science degree or whatever d you know,question
d well are your children now,question
are you having to repair the walls at all,question
i think it s really important to that that if you get a pet that they re c either spayed c or neutered so that d you know we re not just going on with this pet population and having to,statement
cytosine and cytosine and stress that to your children,request
wherefore don t you tell me some yours,request
f um that s interesting,statement
did it work laughter,question
d so do you work for t i,question
what do you think causes air pollution in dallas,question
c but you definitely need to go to hawaii,request
c and you couch a short bit of that over it,request
d well i d say tackle one project first and hear how it goes,request
c but did they have some pretty good special effects,question
have you seen the debit cards where they actually debit your account when you,question
c thusly let s make it angstrom good one,request
f oh where was where where was that,question
just a minute beep,request
what have you seen recently that you enjoyed,question
c and what is t i,question
d you know flop,general
laughter d well we can f uh complain together or swear we can complain together about the humidity laughter,request
yeah i jazz,general
f oh serious laughter,general
c but wh what kind of things are you looking for,question
is that is that f um pretty predominant as far as california do doe,question
c and i appreciate the conversation,general
c so tell me your feelings on recycling,request
d well that s exactly the way he feels is that he really hates to spend the time,statement
calciferol well good to hear,general
they ray not a hard,general
c and c and they had classes that d you know one class they d do art,statement
hold hold hold h tercet,request
c or you can just get some d you know regular red peppers,request
have you ever read f uh or heard of the book this present darkness,question
i can see that,general
i was afraid i d make the car overheat,statement
make surely it s nice and brownish on both sides,request
iodine ll let you start this time,request
c but f uh d you know find out when they are have pause the petroleum fair f uh,request
c and you beat this cornstarch right into the mil the milk d you know,request
um hum,general
ohio ohio yea,general
c and i check that everyday,statement
what s going on,question
do you want to start away,request
i am a speech pathology major,statement
c and f uh if you have that on a regular basis in texas i think i would go with something very dry laughter to keep it off d you know,request
c so d you know after bull durham and field of dreams d you know,statement
c and you make sure that you keep up with them for the next time,request
it was nice talking to you,general
one m calling from texas,general
c so i got my chicken and all my little net and everything,statement
catch you later,general
raspberry yeah,general
f oh dear,general
gosh i m sure not even one percent of the world is as fortunate as these areas,statement
i get most of my news driving back and forth to work listening to the radio,statement
if you assume t like it shoot move on to something else,request
how would,question
c a c and good luck,general
c and i think they got exposed to a lot of neat things,statement
do we get f uh,question
real maternal laughter,statement
television f uh the violence on television and in the movies would be contrary to my beliefs in that,statement
c and they got pretty scenery in ireland,statement
c so what do you think of our trial system noise,question
f uh do you think it works very good with that random do you think it limits,question
huh uh,general
veracious clanging,general
c and you meat it,request
could you hang on matchless minute jim,request
don tonne overcook it though,request
e i mean you buy a a tenderloin steak it costs outrageous d like twelve dollars a pound,statement
c and they are going to come right through you if you don t do something,statement
d well you take care,general
f oh i see,general
f ohio alright,general
c and c and we were looking all these alternative sources of the energy and so forth,statement
it had held d like a fifteen shot clip,statement
guess,request
ergocalciferol well ane thank you,general
do you f uh think we should go metric,question
don liothyronine go out there and start digging holes f uh,request
c and let s hope some there are other people that feel the same way laughter,general
f a f oh i see,general
you re reading dune,general
gosh it sounds so nigh,general
laughter nineteenth amendment is it that gives women the right to vote laughter,statement
i don t subscribe to either,statement
because i guess it s because t i s down here,statement
d well i guess that s about it,general
c or are you familiar with any of that,question
did you see it,question
let s hear approximately your avocation,request
fluorine oh unity got you,general
laugh blend ahead,request
c and maybe we ll meet up again roughly time,general
cholecalciferol well go beforehand,request
are you an engineer for t i,question
f oh excuse maine just a minute talks to someone in the background,request
c but do you think that that s going to be enough,question
we ll see how that goes,statement
put it to sleep calciferol you know,request
e i mean i can t help but wonder if if i grew up without a father on the streets and,statement
the other affair to do if you re really like the hyacinths a and i do is that before you plant those bulbs stick them in the refrigerator for five weeks or so to cool them,request
c or is this mainly cross stitching,question
have ampere adorable day,general
that is probably as about as much as we both know laughter,general
this cost jim in dallas,general
did you go,question
fluorine ohio fluorine um,general
how do you know how wrong they are,question
scaffold,statement
c so don t say she s modest,request
d well don liothyronine let it compile dust,request
i think those should be uninsurable,statement
f oh didn t you,general
c and then yeah,general
c but start ahead,request
it s just incredible,statement
d well listen,request
if you had f uh no financial requirements if you could buy any car in the entire world no matter what it cost what would you buy,question
do you know what that is,question
i got it from a friend of mine that i used to work with,statement
are you both from utah originally,question
mean private enterprise,question
d well michael what do you think about f uh funding for aids research,question
c or how did you get rid of them,question
you wish to start first laughter,request
e i mean just don t run too fast,statement
c but there s no coping saw big enough to for a fourteen inch wide watermelon laughter that,statement
are d are you do you play the piano,question
at least exercise while disperse it off laughter,request
or there,question
laughter all aright,general
fluorine oh you should try it,request
a while,general
to you too,general
go to work for u t,request
c and f uh d you know we planned out how much we were going to spend for food and how much for for this and for that,statement
f oh thank you,general
c therefore f uh if you re near that age laughter or you know somebody who is,request
d you know d like yeah,general
you could probably do that,statement
swallowing yea,general
f uh lipsmack f uh d well i know they were going to start one,statement
d well it certainly is nice talking with you gene,general
f huh d well you might want to get yourself f uh an animal that doesn t require much care like a cat,request
hold it down axerophthol little longer,request
c and one man in particular had reservations made plane tickets made everything,statement
my mom she just loves to fish,general
approve carol,general
i saying teachers should be paid more,statement
you need metal alternatively of plastic,request
i m enjoying hearing you so much laughter,statement
certainly go onward,request
start,request
f uh i,general
am i pretty texan,question
d well how large is williams,question
laughter that s about what it looked like,statement
c and good luck with the baby,general
make sure it s nice and brown on both sides,request
d well then the nex the truck i got next i definitely looked for the same engine,statement
c and f uh d you know make my annual pilgrimage to the solitary star brewery,request
d well that s some all i have to say laughter,general
you go right ahead because single,request
did he get hurt again,question
name one laugh,request
sniffing yeah,general
d see am i good or what,question
f uh what have you had,question
d boy it is a big problem,statement
if you are not going to have a family then that s fine,statement
c so if it comes to pittsburgh in the road shows and i think they have three different companies that tour the u s f um you should go see it because it s rattling it s rattling outstanding,request
write firstly,request
c and don t spend any money this weekend laughter,general
can you hold just a second terry,request
d well yeah f uh,general
carbon and f uh that s one thing we can enjoy is good delicious food,general
put them fools inwards thither,request
f uh what f uh what sort,question
tell maine almost your clubs up there,request
you might put around d like around yellow catfish in there,request
did you see it the other night,question
f uh faintly,general
where do you work in research,question
c and you beat this cornstarch right into the mil the milk viosterol you know,request
have you eaten there,question
you ve got to see it especially since you have a german,request
a hamster,general
you know give them a fine whatever,request
okay laughter,general
what what program are you in over at carnegie mellon,question
laughter what what what kind of a,question
c so d well,general
c and then you ll bear to give me axerophthol call on gardening laughter,request
ye uh huh,general
hello diana,general
gentlewoman kickoff,request
cheerio cheerio clicking phone detent hanging up,general
c and then you take and f uh lipsmack cover that with drained crab meat mixed with one of the small bottleful of chili sauce and spread it over the top and spread it on triscuits crackers,request
f um there entropy a spot to look into f um f um,request
is it one of those afghans that i ve seen in the packages with the with the large squares,question
how way back e i mean laughter,question
c and what s that other one where they laughter where they do the f um skits,question
cough yeah,general
f um f uh d considerably give me your first effect,request
today tell me what you expect from the mavericks this year,request
f uh i ve got f uh five toughie here from t i,general
c or what she s losing her sight or whatever,statement
f c and wasn t it pretty last week with the bluebonnets and everything,question
c then we ll talk about that some,request
college or,question
she s even got she s got one dog now and the two cats,statement
what time is it there,question
if you wear t ilk it shoot move on to something else,request
d now if you just lose if you just skip one election,question
i don t i m sure she puts wine in it because f um she cooks everything with alcohol,statement
c because the those were big political that was a big f um turn out,statement
what do you do with your budget,question
where,question
d you know he attached himself to a couple of those,statement
c and they marked off routes that they could go or something laughter,question
f uh i think it s a stinking shame breath that there isn t capital punishment for those assholes that stold our money,statement
c and c and if i can get one that ll keep my limit at five hundred,statement
c or is that just the the truth,question
a a the sides and the lines that were drawn are all confused as to who s good and who s bad,statement
d well i know they will,general
c so is f uh is he working there then,question
is it snowing up there,question
have you heard anything on d like out for justice,question
yell them,request
nice talking with you craig,general
narrate me approximately your computer laurie,request
d well when she got home who took care of her,question
c and afterward that randomness cooked you take it out and pour this on top of it,request
d well you haven t told me f uh what sports that you are dynamic inwards,request
wordperfect is just so much better than than wordstar at least the version of wordstar that i used to have,statement
uh huh noise children talking,general
wherefore don t you go first,request
c and it would have make it f uh broadened the audience that it could have been targeted for i thought,statement
d no you tell maine how you tone about,request
i think they i think the fords tend to last a little longer,statement
i ve enjoyed this f uh,general
d so c and how do you feel about it laughter,question
i m carol,general
c and then we actually held them back in fourth grade,statement
is that the aspect of the news that you re most interested in is is the timely yo noting of the events as they happen,question
they did that three or four years before they did it with everybody,statement
c and f um maybe we ll talk again,general
i i can t i can t if it s twenty twenty sniffing or one of those things where,statement
c and f uh the child needs to take pride in the fact that their parent is doing something,statement
c but san francisco will be hurting anyhow,statement
could you hold along,request
c but i ve two kids and all,statement
i would just encourage you to do amp little traveling though before you get married,request
my wife f uh she went to f uh the school out there in lubbock,general
f oh has those influences lasted,question
f uh what are you thinking about buying,question
coulomb and we ll hopefully we ll get to talk again,general
yes farad oh,general
d substantially unity have enjoyed talking to you,general
west wait,request
it mho good verbalise to you,general
chiming yeah,general
a liter s about a quart,statement
how do you like it out there clicking,question
c but if it were told to us that we would find the time somewhere between our seventeenth and f uh twenty sixth birthday to give a year or two to the to the country in the form of maybe building better roads or the parks service or the peace corps or somet d you know the military service or something wouldn t we have f uh maybe a better class of americans,question
lead care now,general
e i mean it s been a while since i been in high school,statement
golly,general
you go ahead first if you ergocalciferol like,request
c but f uh we re up here in western northwestern part of pennsylvania,statement
f oh i see f huh,general
c and f uh we got that,statement
what if you re looking down the barrel of a hand cannon,question
it s been pleasant talking to you,general
laughter calciferol well i revel,general
c so i wasn t paying as close of attention,statement
don good talking with you,general
c and so on f uh on weekends she would d you know spend all of her time with her kids and spend lots of lots and lots of money,statement
i needed to do it,statement
c and c and you ll hurt yourself laughter f uh,statement
c hence don tetraiodothyronine say she s small,request
c but you know what you can do,question
alibi me,request
c but f um you have to really wash your vegetables after that,request
her is her career f uh related to to finance or accounting,question
c and consequently some of the very best students were had excellent memories,statement
trust you like you it,general
keep on view those movies f huh,request
afraid non,general
c and c and yeah,general
was it bad,question
right breathing,general
i have four sons scattered all over the country,statement
directly it s up to you,request
c and you put it on a really low rut,request
d substantially hang on,request
my name represent lowell,general
yeah laughter pause,general
c and no matter what the weather is they can walk,statement
nowadays you view,request
d sure you re welcome,general
c and you assign it on a platter,request
i know i know they can t wait laughter,statement
laughter all right,general
f oh wha what else can i tell you about painting,question
you you if you same sports xtc right ahead with this one,request
you had to go chase her down,statement
f uh how about yourself,question
laugh d well tell maine,request
have you been cross stitching long,question
resound f uh hang on one secondly,request
f uh we re not f uh real wealthy at the moment,statement
f um been with t i like twelve,statement
and how is it really transmitted,question
that s really unfortunate,statement
and with banners and and a parade of vehicles with their with their colors of the,statement
i m clouding up right now,general
tone astatine this slick guy,request
d well listen they ve f uh they ve had this one,request
i m sure until at least school age and maybe longer,statement
c and you know the funny thing is now that i have a large kitchen with a big island and that i still have people trying to come d you know,statement
c and i i don t i say i don t have the time,statement
d well you ll exactly receive to plan a vacation some time,request
what did he say about it,question
who who did they play,question
d well you can come over to my house and spend it laughter,request
c and it wasn t laughter making it was wasn t as good news as it was,statement
children uh huh,general
d well do most of your day care workers really care about the children,question
coke and talk a,request
static uh huh,general
beep d so where was your last vacation laughter,question
having both of them natural the first one was natural and going natural the second,statement
f oh do you laughter,question
c so it s it puts has put pressure on both of them from that point of view,statement
d you know what s the significance of the apes d you know laughter,question
d well how do,question
it was aerobics and lifting weights three nights a week,statement
i did non f uh get to live through it,request
scott let s f uh talk about advice that we can offer a parent where the child is work to go to a university,request
what type of foods do you cook,question
c and unity hope you have a good evening,general
c and f uh good luck in your this venture,general
d so you think that f uh maybe a five day waiting period for handguns or that stuff would be legitimate,question
i am in falls church virginia,general
c and i know a lot of those nations there s f uh brazil i know is like forty percent evangelical christian not just go to church but d you know really on fire for god,statement
c but f uh where s the line where you where you say to somebody i m going to drug test you tomorrow,question
you actually have students with with beepers,question
um throat clearing,general
yeah pause noise,general
you remember when archie manning was a quarterback,question
suspiration ugh,general
c because there is lots to see noise,statement
f uh do you cook for yourself,question
c but f uh have you ever been to california,question
give maine the money,request
f oh how was it,question
c but it s still such better quality that i think it s worth it,statement
preceptor t tell that to a native texan though,request
we decided not to get the which is actually another loaner one too that we picked up for a consulting job that my husband was doing horn,statement
c and f uh the other thing that i always notice is that whenever they write about something that i m an expert in i find their descriptions to be wrong,statement
adenine hamster,general
do you have you noticed any new f uh trends in politics,question
c and they don t miss in public relations,statement
compose that one mastered,request
they just d you know start going through the phone book or going through a series of numbers,statement
laughter work ahead,request
c and f uh i ve always lived pop here in the south,general
pin along the subject,request
put some fresh petty fresh peewee,request
coke and then you take it out of the avoirdupois,request
that looks awful tiring laughter,statement
d well c and c and i think in the in the in the much bigger picture than f uh to some extent hospitals and doctors have some f uh fixed amount,statement
c and it s kind of shocking,statement
they talk about t v shows,statement
doorbell peradventure we ll talk again doorbell sometimes doorbell,general
c but f uh i think drug testing,statement
d well you oasis t told me fluorine uh what sports that you are active in,request
c and now we re kind of d like in lewisville miss white little suburbia,statement
invite invite the knob terminated,request
f oh have you heard that that i m trying to think of what company it was there was a company that was going to f uh be giving out information about your financial status,question
f oh jagged edge,statement
c and how long have you had them,question
c and that might be a partial solution,statement
laughter d well do you feel like f uh,question
d comfortably breathing i guess i ll let you run now,general
maybe we ll get across we ll cross course again,general
mix up a picayune f uh mayonnaise with some dijon mustard,request
hey what do you think,question
yea coughing,general
that s that s what i was f uh,statement
wear t tell me what to do d you recognize,request
